标题,总播放量,积累弹幕,时间,点赞,投币,收藏,转发,作者,关注量
广东人和湖南人互换饮食，一个被辣死，一个没味,1267762,4724,2023/5/1 11:30,7.2万,1.1万,3547,1330,在下哲别, 278.2万
唐僧：谁还不会个三头六臂啊！,189336,638,2023/5/2 17:30,1.9万,4424,1237,521,冷淡熊, 182.0万
兄弟问我昨晚为什么安静如鸡,712074,153,2023/4/27 14:37,7.6万,532,2807,800,大莫莫my, 36.4万
这样的面试实在是泰裤辣！,298160,369,2023/5/2 13:33,2.1万,3971,583,387,马哥巨离谱, 63.7万
成都底层rapper的生存状态，年轻真实才华横溢,1618918,30397,2023/5/1 9:15,6.5万,3.5万,1.3万,5.1万,峰哥亡命天涯, 163.5万
假期来了，我发现我的员工居然…,1130758,296,2023/4/30 17:30,9.0万,825,1871,286,狈总, 232.2万
雨雪、冰冻、陡坡！三天行程4600公里，睡不到10小时，特种兵式旅游是快乐还是遭罪？,296377,2109,2023/5/3 10:30,2.7万,2.4万,8344,9264,滤镜粉碎机, 95.6万
万物皆可风筝！我们去风筝节上拍了点不一样的！,601909,3311,2023/5/1 17:00,5.9万,1.5万,6179,3440,影视飓风,多名up主参与
乌龟大师仙逝原版,1014974,382,2023/5/2 6:05,3.0万,615,1.0万,9484,JJMAC_Li,2569
少年不可得之物，终将困其一生！,2041410,9683,2023/5/1 11:55,17.8万,2.8万,1.7万,7433,手艺贾, 146.2万
我职业乞讨的今天都没挤进商业街,1692720,435,2023/5/2 0:01,4.4万,1049,4632,1.3万,打嗝鸡ovo, 5.1万
大堂经理处理浴池硬件设施损坏事件,419621,462,2023/5/3 11:32,3.5万,1593,1125,407,老四的快乐生活, 86.3万
比 亚 迪 龙 王,299859,1177,2023/5/2 11:30,3.0万,974,1757,612,小洛龙王,多名up主参与
我找到了五光十色的白！,1478571,2591,2023/4/29 19:17,10.1万,4713,2.5万,1443,祁么么mo, 151.4万
五一带老爸游西湖，老富看到人从众，都懵了！,636815,4135,2023/5/2 17:00,3.9万,1.3万,1772,375,路卡和瑞丽, 36.6万
【星穹铁道】想要玩好彦卿 一个视频就够了！教你角色手法~阵容搭配~遗器遗器光锥选择~,642368,953,2023/5/1 17:22,3.5万,3389,6900,2241,丸子, 123.7万
霆霓快雨，畅爽解压！白术！刻皇队最后一块拼图！金珀宗室充生生！片尾月卡党配置展示,241442,371,2023/5/2 21:21,9248,1013,586,1661,早起锻炼的璞,9431
我的世界：不死图腾，闪现迁坟，极简濒死传送！,1025072,703,2023/5/1 12:26,8.8万,4634,3.7万,1983,图图图酱吖, 69.2万
千防万防！家贼难防！,202459,241,2023/5/1 21:06,2.8万,2262,2051,141,尼奈nine_Official, 68.7万
【崩坏：星穹铁道】摆 拍 狂 魔,379779,872,2023/4/30 17:26,8.5万,3949,2.2万,2988,西瓜酥Su, 23.8万
老爸这回真的是用心了！祝大家五一快乐。,1255397,1299,2023/5/1 11:22,12.8万,4867,5297,402,疯狂小杨哥, 449.3万
乌龟大师仙逝原片段,669285,135,2023/4/30 21:09,2.5万,630,7582,5350,部川库子的滑稽君,3830
男子强行打包螺蛳粉，今天的螺蛳粉都归我了！,4555579,1346,2023/4/28 0:30,15.9万,1602,8703,8665,笑点有点低哦, 21.2万
除了亲妈都是后妈！,2604940,135,2023/4/29 18:41,10.8万,1257,2131,449,派小轩, 81.0万
一枪贯穿星辰！！LOL还原潘森贯星长枪的真正威力！哦哦哦哦哦哦哦哦哦！[有点骚东西],684946,3337,2023/5/2 16:40,4.0万,6290,2583,2276,上海滩许Van强, 191.0万
有一个爱做饭的室友是什么体验,506490,340,2023/5/2 12:00,4.7万,1514,1391,730,李哥我饿了, 95.0万
问：COS成保安混在赶人队伍当中会是什么样的体验？！,3412094,146,2023/4/30 18:05,8.5万,544,2848,407,Co视, 40.5万
破防！被女友发现我偷偷和虚拟AI小姐姐聊天...她彻底忍不住了？,388619,1345,2023/5/2 12:00,2.9万,3740,1670,915,盖里老哥, 179.7万
光脚团建和出轨 爬山好精彩的韩国国民运动,704325,3419,2023/5/1 20:00,6.8万,9180,3858,2110,知名相声演员BBBBB大王, 123.9万
笑死，这就是骂电视剧的电视剧吗？我合理怀疑你们在内涵【全资进组】,1464163,1853,2023/4/29 19:34,8.4万,5389,1.1万,8250,Ms_葵,2049
从零到英雄需要多久？来自老外的纸条诅咒！,1684364,3698,2023/4/29 19:49,14.2万,9538,2.0万,2178,大铁牛Game, 14.8万
当电子鸡瘟病毒感染世界...,414537,598,2023/4/29 16:51,3.5万,3306,6261,4015,咪克菌, 55.9万
谁的闺蜜是恋爱脑？阿猩把她送去绝情所,396980,229,2023/5/2 16:34,4.8万,1066,1845,1577,七颗猩猩QKXX, 120.7万
可莉就想喝一口奶茶,615959,147,2023/5/1 12:41,6.5万,755,9213,3606,你小佑哥哥呀, 2.5万
成年人才做选择，清华北大我都要!,269187,1722,2023/5/2 12:00,1.7万,3445,1090,476,棋手战鹰, 115.6万
牛爷爷，你。。。。。。,1253225,223,2023/4/27 10:30,7.7万,647,6624,2883,Zirch子成, 2.2万
一个反击24W！克拉拉单通深渊15层和世界6，这还刮痧？,518013,991,2023/5/2 12:05,2.0万,1113,2967,5243,靖菌命, 274.1万
【星穹铁道】模拟宇宙6保姆级平民攻略教程，全白嫖4星角色+主角较低配置通关思路,177708,305,2023/5/2 10:22,6027,3167,2252,1163,墨色长安, 16.4万
我的世界：太阳风暴3，天幕救世计划，村民笑着逝世,154750,1986,2023/5/3 9:00,1.5万,4916,2270,102,nor叔, 84.6万
突击测试上海英语角的英语水平！！【硬核vlog11】,268364,1976,2023/5/2 18:47,1.7万,5121,2506,866,邵艾伦Alan, 210.5万
地下室，但是坐了180秒,233334,572,2023/5/1 23:18,3.5万,2692,9495,5670,支南今晚做噩梦, 3.7万
因为太过血腥而被封杀！最夸张的4399小游戏,166642,866,2023/5/2 17:00,1.7万,4305,2599,77,楼上的老张, 221.5万
这案子破的是如此轻松！,1205986,651,2023/4/29 10:08,12.3万,886,1.4万,1321,cheems日记, 45.5万
【菈崩铁】开拓者：我妈三天没打我了！,540350,351,2023/5/1 10:30,4.0万,2477,8729,723,宝菈卟妞BOOM,4159
二营长竟然变成了萌妹子？,1527734,379,2023/5/2 17:20,15.9万,9285,4782,704,宋云生-, 78.2万
派蒙X可莉两眼一黑版（大型社死现场）,475742,359,2023/5/2 17:50,5.3万,1012,5117,4443,战辉,多名up主参与
陈翔六点半：那个新来的员工为何被所有人针对,344884,596,2023/5/2 18:05,2.3万,2444,671,529,陈翔六点半, 221.4万
抽奖给小学生练习册,863826,432,2023/5/2 15:30,9.0万,2048,2407,547,旺仔有内涵, 122.8万
武Distance,516231,783,2023/5/1 23:24,2.3万,5761,2605,3355,碧桑驾dell, 13.6万
好久不见，耍一把,272425,202,2023/5/2 11:30,1.4万,4006,535,138,反白嫖艺术家, 16.0万
五一去参加舍友婚礼竟然上了央视新闻,1142542,806,2023/5/1 22:22,3.2万,4244,2474,1082,小管同學, 13.4万
你在做一种很新的电脑,2886803,3516,2023/4/30 17:15,24.4万,1.4万,1.9万,1.8万,开箱嘤嘤怪, 178.9万
我在谷歌地图找到了深海怪鱼...,530367,3773,2023/5/1 17:50,4.2万,4410,9035,366,沙雕网友咸叽叽, 191.6万
这款24年前注定悲剧的游戏，却隐藏着逆天改命的完美结局！,343244,2830,2023/5/2 11:41,2.7万,2.2万,5991,635,逗比的预言家, 22.8万
(拍摄于2007)一个在宝马和自行车上都会一直笑的女孩,815930,651,2023/5/1 21:36,3.4万,5471,2950,704,摩的司机徐师傅, 4.9万
人 类 到 底 有 多 能 挖？,934958,450,2023/5/2 13:17,7.7万,570,3433,315,央视新闻, 1516.9万
希儿二件套带封印站？算一下数据就知道该选啥了！别被误导了！崩坏：星穹铁道/太空封印站/模拟宇宙/停转的萨尔索图/二件套/遗器,266331,441,2023/5/2 18:48,6273,1268,981,437,渴望力量的胖ci君, 18.7万
【明日方舟】这次剧情是我配评价的？克里斯腾是我能说的？,219875,855,2023/5/2 9:35,1.1万,1360,2523,720,三平安乐,4009
我们用了4999.99个方块在我的世界中还原出了派蒙,1564609,742,2023/4/28 15:59,16.2万,7498,1.7万,575,蹩脚小丑team,6225
《Flower+ikun+野花香》,449048,234,2023/5/1 21:59,6.2万,3491,3005,789,悠悠球琛总, 182.5万
双胞胎付一分钱轮流去吃自助餐能成功吗？,2709655,1565,2023/4/29 0:06,8.1万,3786,3968,4764,大弟二哥呀,6929
只要威力足够大 精度就可以忽略不计！,563562,540,2023/5/1 21:09,4.7万,997,3385,500,王站长WzGz, 80.1万
阴间玩法3.0-阴风,2055475,256,2023/4/29 17:32,8.7万,711,5818,743,国家二级飞行员, 22.8万
我还是喜欢 你一开始撩头发帅气的样子【恶作剧187】,719304,2099,2023/5/1 15:30,3.8万,9299,2390,623,野生大肥扬, 86.1万
印式面部SPA加唱歌跳舞有没有搞头？答应我一定要看完这个视频。原曲《女友嫁人新郎不是我》#豪哥哥的散装歌曲,515022,445,2023/5/1 14:43,3.1万,3008,4170,2998,微微的快乐分享,3886
今天斗胆模仿一下粉红女郎！还记得万人迷、男人婆、结婚狂和哈妹吗？！当年你最喜欢谁？,341662,167,2023/5/2 12:01,3.4万,1458,810,89,李如儒也是李蠕蠕, 182.2万
为什么不建议任何人去抽白术？,1008999,705,2023/4/28 5:30,8.3万,1.1万,1.3万,3833,西里ski, 2.1万
在游戏里装NPC！差点成功骗到萌新？！,845313,3473,2023/5/2 13:00,6.4万,1.1万,7471,972,中国BOY超级大猩猩, 887.7万
shit: 英语最博大精深的词(之一),132143,816,2023/5/2 19:05,1.7万,6079,2816,716,英语兔,多名up主参与
希儿：布洛妮娅，那种东西不要看啊！,709293,421,2023/4/28 12:10,7.6万,7097,2.0万,2552,兰矛RS,多名up主参与
《原神》角色演示-「白 展 堂」,516698,1139,2023/5/2 11:00,4.4万,1.4万,7827,1.7万,南有风音, 13.1万
盲盒发奖励 里面居然能出现这个！这也太刺激了吧！,1000667,337,2023/4/29 11:00,1.8万,699,997,49,百变公司, 2.8万
傲战天团历险记4,509144,1976,2023/5/1 22:21,5.0万,936,6786,5346,刘炫i, 72.4万
玛奇玛生姜炒肉，现杀现做。,653380,487,2023/5/2 16:35,2.5万,2319,7015,1.6万,阴霾未散,142
人生的路，还得慢慢走。灯火荧光，浩然前行。,1001712,588,2023/4/27 17:35,13.0万,4847,1.2万,513,王大境泽, 128.1万
在抽最强人权卡芙卡之前，你必须得搞清楚，这个游戏的“持续伤害”“击破特攻”到底是什么。,636035,735,2023/4/30 18:45,1.9万,4394,5690,2391,紫洋哈哈哈,9295
天启进化 废柴生存,182388,734,2023/5/2 23:33,2.5万,4543,2028,304,籽岷, 408.7万
【手书】“你身上有她的香水味”,425002,426,2023/5/1 17:52,3.6万,8534,1.1万,6722,RPGLauncher, 2.6万
星穹铁道300抽 下常驻会不会很亏？,262402,729,2023/5/2 11:03,1.3万,2126,742,6340,小霖QL, 148.9万
难受了我太不行，这样你们看行吗,1263757,140,2023/4/29 14:37,4.4万,1085,5337,4408,初海哥,2504
【轰】谁教你这么读评论的？！,612595,781,2023/5/1 12:15,8.3万,2198,1.2万,166,米尼麦泥轰, 15.2万
早看早毕业！模拟宇宙1到6最强自动通关攻略！只用四星角色轻松拿满全奖励！【崩坏：星穹铁道】,947959,491,2023/5/1 6:00,6.1万,1.6万,3.1万,4995,自由大野猪, 157.6万
小乔：挨一枪应该死不了,1018244,2154,2023/5/2 17:43,7.6万,3007,2019,299,尴尬的铁根er, 354.8万
我玩个游戏还要吃家里的桌子是吧？？,631606,3702,2023/5/2 8:13,6.8万,1.2万,7398,394,萝卜吃米洛,多名up主参与
如何应对各种送命题,538161,137,2023/5/1 18:08,2.9万,832,2033,1081,甜一口没, 61.0万
五一在家练习擦玻璃吧,766003,96,2023/4/30 19:01,4.5万,1424,2.1万,2057,郭阿姨-90后保洁师, 5.7万
一进央美2023毕业展，就被感动到了！,560802,80,2023/5/2 17:16,4.3万,668,2427,392,美院安迪看艺术, 50.2万
“偷家的笑容没有消失，只是转移到了别人的脸上”共享账号挑战赛15,410239,640,2023/5/2 11:00,3.0万,1897,1149,162,守护茶茶, 184.4万
【轻方舟】博士不要碰那些水啊啊啊啊啊啊,307654,134,2023/5/2 11:45,2.4万,935,3803,182,赤风NK,多名up主参与
【师严道尊】老厨师陈宗明先生收徒全记录，官宣4K剪辑版。,398648,1740,2023/5/2 18:05,3.1万,6139,1441,403,师父和我做鲁菜,多名up主参与
我酸了，边工作边创业边谈恋爱，泰裤辣！,584692,1660,2023/5/1 14:00,3.5万,4877,1911,1137,谭乔, 438.5万
你家师傅跟你一样， 得了便宜就卖乖,894449,83,2023/4/29 13:20,2.6万,536,5808,437,老贾讲装修A, 1.8万
还有小约翰可汗从没念过的国家吗？提过次数最多的国家是…,250611,753,2023/5/2 16:54,1.1万,909,1689,192,沙琪玛er, 19.2万
爷爷今年86岁，唯一的爱好就是做手艺,713229,234,2023/4/29 18:25,2.1万,1763,2137,588,山里木匠人, 1.5万
明日方舟推特小动画：接缪尔赛斯上岛的博士  BY wheels,311044,205,2023/5/2 1:01,2.2万,918,6029,1541,宅叔马克斯, 34.5万
【星穹铁道】第六世界究极逃课，有手就行，平民，零氪，零抽卡适用，我要当艾丝妲小姐的狗！,692198,741,2023/4/30 7:00,2.1万,3985,1.2万,4744,一树树, 7.9万
【明日方舟】SideStory《孤星》剧情合集,451794,15124,2023/5/1 16:48,1.9万,8070,1.3万,2072,cznull, 10.4万
关于改造楼梯逐渐变成建房子这件事……,2721710,229,2023/4/29 21:58,5.2万,751,2511,71,谢反反,2730
正黄旗的通天纹长什么样？北京满族大哥义愤直言：那叫沧桑,614951,2987,2023/5/1 7:00,2.3万,2966,3253,2273,北京瑞姐, 5.8万
户外助眠（轻语｜敲击｜口月空）五一快乐宝宝们！,586660,350,2023/4/30 23:55,1.8万,5046,1.6万,481,芥末姜酱, 3.4万
【原神】胡桃新皮肤！你的璃月少女——「晨露狄花」,157234,232,2023/5/2 17:48,1.3万,2695,4442,600,万老板, 45.0万
【原神揭开】草系最后一块拼图？白术全方位攻略 & 草体系配队总结,330699,1959,2023/5/2 22:21,2.2万,1.2万,3143,1515,粥粥的终极理解, 32.5万
【原神】白术 0命~6命5精 实战对比测评：超离谱奶爸！后台奶+挂草，全队都变成奶妈，根本死不了！,174182,788,2023/5/3 10:00,1.2万,2961,641,762,小琨爱小蛊, 104.8万
【原神】草系奶爸：白术综合测评：奶量展示/阵容推荐/抽取建议，0命就很能奶的奶爸,263565,616,2023/5/3 11:00,1.6万,1521,747,1000,卡特亚, 277.9万
【崩坏星穹铁道】仙舟「罗浮」 宝箱全收集,531880,3012,2023/4/28 12:53,1.2万,6589,4989,805,莴苣某人, 527.3万
【原神】盛典与慧业 (已完结) 活动攻略/明星聚画/追溯求真/究古考察/药剂应对法/仿生摹行/通路计划/原神3.6,2194170,2032,2023/4/27 10:53,5.9万,3.5万,1.7万,1938,你的影月月, 580.9万
【明日方舟】孤星 全流程实况+剧情 杨颜同学,441463,15533,2023/5/2 5:43,2.4万,8370,6885,1172,杨颜同学, 103.4万
【孤星】CW-1 至 CW-10【超低配】攻略合集 【明日方舟】,286276,742,2023/5/1 21:27,1.1万,3419,3936,1182,小鬼卡比, 45.3万
银河系最懂！白术终于上线？草系盾奶能否成为新天帝！原神3.6新角色如何培养？天赋，数值，圣遗物，武器超详细全面解析米哈游的设计！,272615,2597,2023/5/2 18:05,1.4万,3577,975,662,老懂是我了_DongGaming, 30.9万
【孤星】CW全关卡 摆完挂机 简单好抄（持续更新中）,985540,1166,2023/5/1 23:11,3.9万,3.0万,9082,762,萧然Q, 68.6万
