标题,总播放量,积累弹幕,时间,点赞,投币,收藏,转发,作者,关注量
全场喊我没篮？可是…手感来的时候，根本拦不住呀！,217790,70,2023/5/2 22:37,2.8万,836,987,117,野球帝王师傅, 75.5万
狂躁！自残！自杀！梵高疯狂的真相，背后是人最深的绝望！,1438086,2861,2023/4/29 11:30,11.4万,3.2万,3.7万,2774,小透明明TM, 184.6万
瞎配的音，别喷,269186,371,2023/5/1 10:23,2.1万,2631,6677,1774,没有名字啊啦,707
faker：？？？,345878,486,2023/5/3 6:14,2.6万,9964,1237,169,阿泽u稻草人, 27.1万
猫妈妈难产死了……小猫咪……,308547,157,2023/4/30 18:49,3.9万,1.2万,2031,144,一只元大头, 3.8万
把我意大利炮拿来！,1783044,16633,2023/5/2 12:00,21.4万,8.2万,3.6万,3491,高斯Goh, 320.2万
勾栏听曲说是,1823205,1631,2023/4/26 18:42,30.9万,1.8万,5.1万,6813,CSGO大茄子, 336.5万
从上厕所的规则就知道挪威的男人地位如何了,4086194,2206,2023/4/27 18:11,52.1万,7372,2.8万,1632,挪威老王, 35.4万
边境之旅！谁说福建人不能吃辣的，说得真好！,286528,2967,2023/5/2 20:30,4.1万,1.4万,2800,878,世界美食official, 148.3万
《关于男朋友休假顺便带走了我腿这件事》,3368075,386,2023/4/28 14:20,37.5万,7603,2.0万,4941,春游哥哥, 13.2万
全世界最贵鹅肝VS最便宜鹅肝！价格相差1000倍！有多大区别？,725025,6306,2023/5/2 18:00,7.0万,1.9万,8758,4263,HOLA小测佬, 227.6万
给我玩黑塔！！！,878223,275,2023/5/1 11:45,8.1万,2223,1.3万,1398,星萤-,604
音律联觉！俺们粥粥人的天堂！！,918901,52,2023/5/2 7:44,9.5万,881,1.1万,634,夏奇拉ovo, 31.0万
我就不信，还有谁看完能学不会炒糖色,436059,213,2023/5/2 19:02,4.2万,4968,2.0万,860,段小段美食教程, 104.3万
【白露】乖乖张嘴！白露来喂你吃糖啦！,197952,421,2023/5/2 12:00,3.6万,2294,8827,765,其人, 128.7万
我用ChatGPT创造了一个数字生命，在QQ群里伪装人类,455748,3709,2023/5/1 11:02,3.5万,1.6万,1.6万,8988,LUMO_Xu,9164
兄弟们！快夸夸卡库吧！,285168,802,2023/5/2 20:56,2.1万,4686,1243,860,大连小王爱踢球, 37.2万
没人是天生的强者，更没人是命定的草芥......,293670,273,2023/5/1 15:09,2.8万,2076,6379,542,罗伯特讲电影, 7.7万
被深圳面包节的试吃吓哭了……,811257,239,2023/4/30 23:13,5.3万,584,6280,8833,老面馒头公主,575
全高台六星干员 VS 量产型☆交通亭，速狙穿千甲！【明日方舟】,283196,965,2023/5/3 7:45,1.7万,1705,1381,191,樗柒ヽ, 30.0万
Super中文版 悟空精神 母语才能诠释灵魂的神话,293116,433,2023/4/30 11:27,3.8万,1.7万,1.3万,3641,Yizy尹姿,多名up主参与
中国医学史作业，别赞，要脸,1038644,1759,2023/4/26 23:00,10.9万,1.2万,9041,3000,妙女蓝庭,667
aespa《Welcome To MY World (Feat. n?vis)》MV,606267,9822,2023/5/2 17:00,5.5万,3.0万,1.7万,1.3万,SMTOWN,多名up主参与
团长 黑龙江悠悠球公开赛在线开团！全场高能！?,1599573,1689,2023/4/30 17:41,16.0万,2.1万,1.4万,1.6万,任天明月, 6.3万
消失但被采样播放数十亿的人,509606,279,2023/4/30 17:36,3.0万,4112,2.7万,1574,阿骆星人,810
不愧是一群男的想出来的节目,3125444,1125,2023/4/29 19:59,24.9万,1.8万,7.9万,5.3万,猫猫牌电话,1409
《下 头 男》,961771,247,2023/5/1 19:40,10.2万,1.8万,5004,2018,矮油王老六, 122.9万
《我叫铁林》天王老子来了也不行,1733305,887,2023/4/30 14:23,21.3万,2.9万,1.7万,4469,郑童童_, 34.2万
男子当着妻儿面救起落水男童，问岸边儿子：我帅不帅？,369134,315,2023/5/2 16:04,5.3万,608,639,27,人民视频, 26.8万
通过模拟宇宙的关键,657516,559,2023/5/1 18:47,5.1万,833,9178,3968,箫白游戏解说, 1.7万
帕??姆??乱??撞~,1140189,1167,2023/4/30 11:30,10.1万,9901,2.1万,2.9万,-L枫-,多名up主参与
给官方COSER上点强度,243379,95,2023/5/2 15:49,1.2万,940,3822,3398,山近原,3392
实拍立体机动装置！以梦为翅膀，翱翔于天际！,1782726,1676,2023/4/29 19:00,18.0万,6.6万,2.7万,1.2万,剑客范十三, 155.9万
嘎嘎好吃手抓饼早餐！,275440,204,2023/5/2 20:27,3.2万,541,1463,322,记录小生活的蛋黄派, 103.9万
爆肝半年！蝙蝠侠排名第一的神作《黑暗骑士归来》,1191753,3812,2023/5/1 12:05,18.8万,25.2万,9.3万,6893,努力的Lorre, 448.5万
高手过招 胜负在毫厘之间,1045570,590,2023/5/2 13:48,8.3万,2932,4377,3296,LOL楠神李青, 21.7万
?《叶罗丽》好烂 但她好美 吐槽up沦陷了！?,195613,1979,2023/5/2 17:28,2.1万,3665,2197,190,沫子瞪片, 91.6万
《崩坏：星穹铁道》千星纪游PV：「有关星空的寓言集?其一」,1825605,8129,2023/5/3 12:00,18.6万,5.6万,3.4万,2.9万,崩坏星穹铁道, 570.6万
御坂美琴，生日快乐！「2023.5.2 炮姐生贺」,519859,3643,2023/5/1 19:15,11.9万,7.2万,2.7万,1.1万,科学超电磁炮F, 89.2万
谢霆锋11元一根的“锋味虾肠”真的值吗？？,1231967,4903,2023/5/1 17:05,6.2万,3.9万,1.4万,470,姬一元, 205.3万
宅舞比赛被打0分的作品,952468,488,2023/4/30 19:09,4.7万,2129,4152,1143,Cocosky,2696
“你是个英雄，但你必须离开”——辐射1,297240,1949,2023/5/2 23:17,3.8万,2.7万,1.1万,481,33不是山山, 155.1万
追逐夏日的颜色,1407572,1457,2023/4/27 21:19,22.1万,2.3万,2.9万,9647,艺术菜花, 69.7万
自助第二弹来啦,539916,2062,2023/5/2 10:43,3.4万,2215,2546,7529,别炫了老铁, 11.6万
后悔没早点发现，这些男装店铺一个比一个硬核,762149,158,2023/4/30 8:40,4.7万,3733,3.8万,807,Vintage乔修,6378
小肥皂，全款拿下,1633721,794,2023/5/2 16:00,15.8万,4567,6566,1463,王七叶-, 168.2万
当你试图扼杀我的电竞精神时 你已经输了,3401639,4659,2023/4/29 11:59,39.8万,12.4万,5.8万,1.8万,星有野, 422.9万
“兄弟，真的伤心了！！”,397945,824,2023/5/2 23:36,6.0万,1035,2031,343,在下谭某, 47.2万
没开玩笑  淄博已经进化到5.0版本了...,6411181,7029,2023/4/27 19:15,65.9万,3.7万,4.7万,3.2万,赵澍哈哈哈, 4.9万
Baby u,357468,211,2023/5/2 14:30,2.4万,1673,2068,307,菠萝赛东°, 155.8万
